ID,Name
0,Test
1,Character Makeup Test
20,20: NT version A (Wandering Knight)
21,21: NT version B (North Warrior)
22,22: NT version C (Wizard)
23,23: NT version D (Temple Knight)
1000,Base Face (Male) - Commoner
1001,Base Face (Male) - Northern Warrior
1002,Base Face (Male) - Astora Noble
1003,Base Face (Male) - Dragon Academy Student
1004,Base Face (Male) - Carim Novice
1005,Base Face (Male) - Catarina Merrymaker
1006,Base Face (Male) - Serpentine Traveler
1007,Base Face (Male) - Great Swamp Outcast
1008,Base Face (Male) - Londor Shadow of Death
1009,Base Face (Male) - Irithyllian
2000,Base Face (Female) - Commoner
2001,Base Face (Female) - Northern Warrior
2002,Base Face (Female) - Astora Noble
2003,Base Face (Female) - Dragon Academy Student
2004,Base Face (Female) - Carim Novice
2005,Base Face (Female) - Catarina Merrymaker
2006,Base Face (Female) - Serpentine Traveler
2007,Base Face (Female) - Great Swamp Outcast
2008,Base Face (Female) - Londor Shadow of Death
2009,Base Face (Female) - Irithyllian
3000,Base Body - 0
3001,Base Body - 1
3002,Base Body - 2
3003,Base Body - 3
3004,Base Body - 4
3005,Base Body - 5
3006,Base Body - 6
3007,Base Body - 7
3008,Base Body - 8
3009,Base Body - 9
4000,Default Male
5000,Default Female
8000,null
8001,null
8002,null
8003,null
8004,null
8005,null
8006,null
8007,null
8008,null
8009,null
8010,null
8011,null
8012,null
8013,null
8014,null
8015,null
8016,null
8017,null
8018,null
8019,null
8020,null
8021,null
8022,null
8023,null
8024,null
8025,null
8026,null
8027,null
8028,null
8029,null
8030,null
8031,null
8032,null
8033,null
8034,null
8035,null
8036,null
8037,null
8038,null
8039,null
8040,null
8041,null
8042,null
8043,null
8044,null
8045,null
8046,null
8047,null
8048,null
8049,null
8050,null
8051,null
8052,null
8053,null
8054,null
8055,null
8056,null
8057,null
8058,null
8059,null
8060,null
8061,null
8062,null
8063,null
8064,null
8065,null
8066,null
8067,null
8068,null
8069,null
8070,null
8071,null
8072,null
8073,null
8074,null
8075,null
8076,null
8077,null
8078,null
8079,null
8080,null
8081,null
8082,null
8083,null
8084,null
8085,null
8086,null
8087,null
8088,null
8089,null
8090,null
8091,null
8092,null
8093,null
8094,null
8095,null
8096,null
8097,null
8098,null
8099,null
8100,null
8101,null
8102,null
8103,null
8104,null
8105,null
8106,null
8107,null
8108,null
8109,null
8110,null
8111,null
8112,null
8113,null
8114,null
8115,null
8116,null
8117,null
8118,null
8119,null
8120,null
8121,null
8122,null
8123,null
8124,null
8125,null
8126,null
8127,null
8128,null
8129,null
8130,null
8131,null
8132,null
8133,null
8134,null
8135,null
8136,null
8137,null
8138,null
8139,null
8140,null
8141,null
8142,null
8143,null
8144,null
8145,null
8146,null
8147,null
8148,null
8149,null
8150,null
8151,null
8152,null
8153,null
8154,null
8155,null
8156,null
8157,null
8158,null
8159,null
8160,null
8161,null
8162,null
8163,null
8164,null
8165,null
8166,null
8167,null
8168,null
8169,null
8170,null
8171,null
8172,null
8173,null
8174,null
8175,null
8176,null
8177,null
8178,null
8179,null
8180,null
8181,null
8182,null
8183,null
8184,null
8185,null
8186,null
8187,null
8188,null
8189,null
8190,null
8191,null
8192,null
8193,null
8194,null
8195,null
8196,null
8197,null
8198,null
8199,null
8200,null
8201,null
8202,null
8203,null
8204,null
8205,null
8206,null
8207,null
8208,null
8209,null
8210,null
8211,null
8212,null
8213,null
8214,null
8215,null
8216,null
8217,null
8218,null
8219,null
8220,null
8221,null
8222,null
8223,null
8224,null
8225,null
8226,null
8227,null
8228,null
8229,null
8230,null
8231,null
8232,null
8233,null
8234,null
8235,null
8236,null
8237,null
8238,null
8239,null
8240,null
8241,null
8242,null
8243,null
8244,null
8245,null
8246,null
8247,null
8248,null
8249,null
8250,null
8251,null
8252,null
8253,null
8254,null
8255,null
8256,null
8257,null
8258,null
8259,null
8260,null
8261,null
8262,null
8263,null
8264,null
8265,null
8266,null
8267,null
8268,null
8269,null
8270,null
8271,null
8272,null
8273,null
8274,null
8275,null
8276,null
8277,null
8278,null
8279,null
8280,null
8281,null
8282,null
8283,null
8284,null
8285,null
8286,null
8287,null
8288,null
8289,null
8290,null
8291,null
8292,null
8293,null
8294,null
8295,null
8296,null
8297,null
8298,null
8299,null
8500,null
8501,null
8502,null
8503,null
8504,null
8505,null
8506,null
8507,null
8508,null
8509,null
8510,null
8511,null
8512,null
8513,null
8514,null
8515,null
8516,null
8517,null
8518,null
8519,null
8520,null
8521,null
8522,null
8523,null
8524,null
8525,null
8526,null
8527,null
8528,null
8529,null
8530,null
8531,null
8532,null
8533,null
8534,null
8535,null
8536,null
8537,null
8538,null
8539,null
8540,null
8541,null
8542,null
8543,null
8544,null
8545,null
8546,null
8547,null
8548,null
8549,null
8550,null
8551,null
8552,null
8553,null
8554,null
8555,null
8556,null
8557,null
8558,null
8559,null
8560,null
8561,null
8562,null
8563,null
8564,null
8565,null
8566,null
8567,null
8568,null
8569,null
8570,null
8571,null
8572,null
8573,null
8574,null
8575,null
8576,null
8577,null
8578,null
8579,null
8580,null
8581,null
8582,null
8583,null
8584,null
8585,null
8586,null
8587,null
8588,null
8589,null
8590,null
8591,null
8592,null
8593,null
8594,null
8595,null
8596,null
8597,null
8598,null
8599,null
8600,null
8601,null
8602,null
8603,null
8604,null
8605,null
8606,null
8607,null
8608,null
8609,null
8610,null
8611,null
8612,null
8613,null
8614,null
8615,null
8616,null
8617,null
8618,null
8619,null
8620,null
8621,null
8622,null
8623,null
8624,null
8625,null
8626,null
8627,null
8628,null
8629,null
8630,null
8631,null
8632,null
8633,null
8634,null
8635,null
8636,null
8637,null
8638,null
8639,null
8640,null
8641,null
8642,null
8643,null
8644,null
8645,null
8646,null
8647,null
8648,null
8649,null
8650,null
8651,null
8652,null
8653,null
8654,null
8655,null
8656,null
8657,null
8658,null
8659,null
8660,null
8661,null
8662,null
8663,null
8664,null
8665,null
8666,null
8667,null
8668,null
8669,null
8670,null
8671,null
8672,null
8673,null
8674,null
8675,null
8676,null
8677,null
8678,null
8679,null
8680,null
8681,null
8682,null
8683,null
8684,null
8685,null
8686,null
8687,null
8688,null
8689,null
8690,null
8691,null
8692,null
8693,null
8694,null
8695,null
8696,null
8697,null
8698,null
8699,null
8700,null
8701,null
8702,null
8703,null
8704,null
8705,null
8706,null
8707,null
8708,null
8709,null
8710,null
8711,null
8712,null
8713,null
8714,null
8715,null
8716,null
8717,null
8718,null
8719,null
8720,null
8721,null
8722,null
8723,null
8724,null
8725,null
8726,null
8727,null
8728,null
8729,null
8730,null
8731,null
8732,null
8733,null
8734,null
8735,null
8736,null
8737,null
8738,null
8739,null
8740,null
8741,null
8742,null
8743,null
8744,null
8745,null
8746,null
8747,null
8748,null
8749,null
8750,null
8751,null
8752,null
8753,null
8754,null
8755,null
8756,null
8757,null
8758,null
8759,null
8760,null
8761,null
8762,null
8763,null
8764,null
8765,null
8766,null
8767,null
8768,null
8769,null
8770,null
8771,null
8772,null
8773,null
8774,null
8775,null
8776,null
8777,null
8778,null
8779,null
8780,null
8781,null
8782,null
8783,null
8784,null
8785,null
8786,null
8787,null
8788,null
8789,null
8790,null
8791,null
8792,null
8793,null
8794,null
8795,null
8796,null
8797,null
8798,null
8799,null
9000,null
9999,Phantom (no Face)
21000,Slave Knight Gael
21100,Sir Vilhelm
21200,Livid Pyromancer Dunnel
21300,Champion's Gravetender
21500,Amnesiac Lapp
21600,Shira- Knight of Filianore
21700,Painting Guardian
21800,Halflight
21900,Desert Pyromancer Zoey
22000,null
22100,Silver Knight Ledo
24700,Butcher
24800,Greirat
25000,Yuria
25100,Hawkwood
25101,Hawkwood
25200,Sirris
25300,Ringfinger Leonhard
25305,Ringfinger Leonhard
25400,Orbeck
25500,Cornyx
25600,null
25700,null
25701,null
25800,Eygon
25900,null
26000,Anri
26010,Anri (Female)
26100,Patches
26101,Patches
26200,Siegward
26300,Horace
27300,Sword Master
27301,Sword Master
27400,Heysel
27500,Black Hand Gotthard
27600,Great Swamp Cuculus
27700,Holy Knight Hodrick
27800,Londor Pale Shade
27900,Lion Knight Albert
28000,Daughter of Crystal Kriemhild
28100,Exile Watchdog (Curved Greatsword)
28200,Exile Watchdog (Great Club)
28300,Brigand
28400,Thief
28600,Court Sorcerer
28700,Havel
28800,Drakeblood Knight
28900,Ricard
29000,Drang Knight (Hammers)
29100,Drang Knight (Spears)
29200,Knight Slayer Tsorig
29300,Creighton
29400,Alva- Seeker of the Spurned
29500,Longfinger Kirk
30000,null
30010,null
30020,null
30030,null
30040,null
30050,null
30060,null
30070,null
30080,null
30090,null
30100,null
30110,null
30120,null
30130,null
30140,null
30150,null
31000,null
31010,null
31020,null
31030,null
31040,null
31050,null
31060,null
31070,null
31080,null
31090,null
31100,null
31110,null
31120,null
31130,null
31140,null
31150,null
35300,Pot King Greg
999000,null
999010,null
